"Date","Time","Millisecond","Prędkość [m/min]","Prąd - składowa rzeczywista [A]","Obciążenie [%]","Moment obrotowy [kNm]","Siła nacisku - strona prawa [kN]","Siła nacisku - strona lewa [kN]","Nastawa pionowa walca - strona prawa  [mm]","Nastawa pionowa walca - strona lewa [mm]","Temperatura wlewka przed walcarką [C]","Temperatura wlewka za walcarką [C]"
"2025/05/26","13:57:04",789,"0.000","-1.133","-0.515","-0.783","137.283","62.695","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:04",907,"0.000","-0.145","-0.119","-0.181","137.283","62.695","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:04",971,"0.000","-0.034","-0.027","-0.042","137.283","62.695","21.314","21.464","300.0","300.0"
"2025/05/26","13:57:05",122,"0.000","-0.242","-0.083","-0.010","137.283","62.695","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:05",190,"0.000","0.294","0.135","-0.002","137.283","62.695","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:05",289,"-0.128","-1.101","-0.507","-0.001","137.283","62.674","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:05",390,"-0.387","-9.019","-4.271","-0.000","137.283","62.674","21.315","21.463","300.0","300.0"
"2025/05/26","13:57:05",506,"-0.820","-94.045","-44.986","-0.000","137.348","62.674","21.315","21.464","300.0","300.0"
"2025/05/26","13:57:05",607,"-1.003","-250.386","-120.074","-98.377","137.348","62.652","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:05",707,"-1.051","-286.931","-137.786","-122.210","137.348","62.652","21.314","21.464","300.0","300.0"
"2025/05/26","13:57:05",822,"-1.478","-191.249","-91.797","-82.479","137.348","62.652","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:05",923,"-1.916","-154.444","-74.799","-66.526","137.348","62.652","21.315","21.463","300.0","300.0"
"2025/05/26","13:57:06",23,"-2.354","-71.165","-34.261","-30.052","137.370","62.652","21.315","21.464","300.0","300.0"
"2025/05/26","13:57:06",107,"-2.793","-52.531","-25.368","-21.635","137.370","62.652","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:06",223,"-3.231","-49.983","-23.931","-20.823","137.370","62.652","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:06",306,"-3.669","-48.227","-23.215","-19.505","137.370","62.652","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:06",440,"-4.108","-41.979","-20.280","-16.940","137.370","62.652","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:06",523,"-4.546","-39.719","-19.219","-15.217","137.391","62.652","21.314","21.463","300.0","300.0"
"2025/05/26","13:57:06",655,"-4.985","-45.741","-22.204","-18.212","137.391","62.630","21.315","21.463","300.0","300.0"
