"Date","Time","Millisecond","Prędkość [m/min]","Prąd - składowa rzeczywista [A]","Obciążenie [%]","Moment obrotowy [kNm]","Siła nacisku - strona prawa [kN]","Siła nacisku - strona lewa [kN]","Nastawa pionowa walca - strona prawa  [mm]","Nastawa pionowa walca - strona lewa [mm]","Temperatura wlewka przed walcarką [C]","Temperatura wlewka za walcarką [C]"
"2024/12/05","13:51:25",414,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.912","21.7","22.9"
"2024/12/05","13:51:26",430,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.857","-25.913","22.0","22.9"
"2024/12/05","13:51:27",447,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.6","23.0"
"2024/12/05","13:51:28",463,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.7","23.1"
"2024/12/05","13:51:29",496,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","23.2"
"2024/12/05","13:51:30",496,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.7","22.9"
"2024/12/05","13:51:31",529,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.6","22.9"
"2024/12/05","13:51:32",546,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.8","22.9"
"2024/12/05","13:51:33",579,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","22.9"
"2024/12/05","13:51:34",595,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:51:35",612,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:51:36",663,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:51:37",645,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:51:38",680,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","23.0"
"2024/12/05","13:51:39",729,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","23.0"
"2024/12/05","13:51:40",746,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","22.9"
"2024/12/05","13:51:41",763,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","23.2"
"2024/12/05","13:51:42",779,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.912","21.7","22.9"
"2024/12/05","13:51:43",796,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.9","22.9"
"2024/12/05","13:51:44",812,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","23.0"
"2024/12/05","13:51:45",829,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.6","22.9"
"2024/12/05","13:51:46",862,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.6","23.1"
"2024/12/05","13:51:47",878,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.912","22.0","22.9"
"2024/12/05","13:51:48",895,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","23.2"
"2024/12/05","13:51:49",913,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.6","22.9"
"2024/12/05","13:51:50",946,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.9","22.9"
"2024/12/05","13:51:51",963,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.6","22.9"
"2024/12/05","13:51:53",12,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","22.9"
"2024/12/05","13:51:53",996,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","22.9"
"2024/12/05","13:51:55",62,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","23.2"
"2024/12/05","13:51:56",79,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","21.9","23.0"
"2024/12/05","13:51:57",95,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","23.1"
"2024/12/05","13:51:58",111,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.912","21.8","23.0"
"2024/12/05","13:51:59",161,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","23.1"
"2024/12/05","13:52:00",145,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","21.9","22.9"
"2024/12/05","13:52:01",178,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.856","-25.913","22.0","23.2"
"2024/12/05","13:52:02",196,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:52:03",211,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.9"
"2024/12/05","13:52:04",227,"0.000","0.000","0.000","0.000","0.065","-0.043","-25.855","-25.913","22.0","22.8"
